,saison,distancemer,altitude,vegetation,densite,nb_averses,volume,pluieLendemain
0,Printemps,34.9765413286495,396.59240299254475,Moyenne,12.922438224064678,2,1.629064397966166,1
1,Hiver,9.297703761837528,87.79241262664108,Dense,2.8720353521948105,2,1.902443006390616,1
2,Été,59.14088110989931,446.247961387451,Rare,1.8323423760966937,0,0.0,0
3,Printemps,76.86798394851466,99.21935056982386,Faible,12.254775640182816,0,0.0,0
4,Automne,130.0598140656802,680.123481252775,Dense,9.196711308134889,0,0.0,0
5,Hiver,39.98729453573802,217.07194648818978,Dense,6.2164077056823075,0,0.0,0
6,Automne,8.141121663322282,41.66057427788578,Dense,51.41446945845752,1,0.8999653779730583,0
7,Hiver,50.45389630099908,149.7366676267819,Rare,0.0463371608206605,0,0.0,0
8,Printemps,7.358844049475342,72.19772708644413,Faible,4.03134722969737,1,1.0865627170024885,1
9,Hiver,3.694936482748328,55.64163500131143,Faible,16.335479747013657,0,0.0,1
10,Automne,4.84003624516445,58.7290672055785,Rare,17.189759929763923,0,0.0,0
11,Été,8.747632013048014,111.80752565803654,Rare,14.76032797023347,0,0.0,0
12,Hiver,26.345546159272743,134.45786235099354,Rare,1.9487131090034435,0,0.0,0
13,Hiver,49.85551442294988,204.7176662868227,Faible,0.01650713692149529,1,0.6590870866365997,0
14,Été,8.753416898183428,41.2957636194402,Faible,16.19023001750483,2,1.5503999153735017,0
15,Hiver,24.537262648090813,23.09553139677874,Rare,7.485766013193601,0,0.0,0
16,Hiver,64.32601956708186,625.1442856346055,Dense,10.121324444477647,1,0.633603578930954,0
17,Hiver,18.680567119458086,172.78139699623347,Moyenne,19.569349452763223,0,0.0,1
18,Automne,1.344741784132371,7.214953289323827,Dense,2.955916257796259,0,0.0,1
19,Printemps,23.62357052147816,250.49038160837998,Moyenne,0.9120739706630034,0,0.0,0
20,Printemps,77.25687158516305,873.4573052038644,Dense,4.624150537098857,0,0.0,0
21,Printemps,15.65177199615331,25.079173562066487,Faible,0.894657278312873,1,1.0366203560342153,1
22,Été,12.872911169982602,142.64967714268082,Faible,4.613648222768604,1,0.7496352976743257,0
23,Hiver,19.828574144198097,116.61470529028986,Moyenne,0.5615063414112698,0,0.0,1
24,Hiver,23.314266237117014,180.84352072504046,Moyenne,4.343509237768898,1,0.735092619003829,0
25,Automne,2.534776402140157,11.945408855128795,Dense,3.232274580187087,1,1.0531977205812135,1
26,Printemps,20.175733944443014,459.5977127495125,Moyenne,9.254499492488925,1,0.8695497211077075,0
27,Automne,8.242684003262505,98.17961482155224,Moyenne,8.163189851863086,2,1.7983043453556533,1
28,Hiver,31.42848761243761,234.7337625306332,Moyenne,13.728232662348827,0,0.0,0
29,Hiver,22.507555422022616,201.1066666557376,Faible,2.824245568438189,1,0.7386138308892884,0
30,Hiver,25.174261768747442,69.87979626127223,Rare,4.544690249702265,1,0.7274173006896053,0
31,Automne,47.33597984664941,76.23701831335268,Faible,0.11795321820811147,2,1.2085458569077043,0
32,Automne,22.41457616871401,757.3842456791533,Faible,2.6715996276118052,0,0.0,0
33,Été,10.173326262821107,292.0954827295357,Moyenne,5.112509780088139,0,0.0,0
34,Automne,3.382800677788861,9.600163921341004,Faible,8.075312226858912,1,1.0464425892116316,1
35,Printemps,2.6121867546142483,87.4358632511245,Faible,40.698255937715444,0,0.0,1
36,Hiver,14.17671259416947,108.76872345857429,Rare,28.630885509088806,1,0.9232133643342979,1
37,Hiver,12.120418118324526,40.425256341848474,Moyenne,1.8494313939351368,1,0.9336417435344959,1
38,Été,10.680080436407923,179.43237488102605,Faible,1.2603761447178847,0,0.0,0
39,Printemps,41.37948070464988,33.022243561275296,Rare,3.3400976129468622,0,0.0,0
40,Printemps,27.28314391446673,62.73522125631996,Moyenne,7.314833297910229,1,0.8393728188470799,0
41,Automne,86.19018943279598,970.1957160207703,Moyenne,20.918283223534658,0,0.0,0
42,Automne,4.307977965101804,31.32612761250907,Dense,44.556235421042885,0,0.0,0
43,Hiver,4.604056430360567,51.75092478782373,Faible,25.774658398478874,1,0.9958883851034251,1
44,Hiver,14.78446052035062,44.5334131480688,Dense,8.327786625006016,1,0.9204178605338686,1
45,Été,67.11019167937994,1853.2546681315398,Moyenne,5.537089752295795,1,0.4493664078009967,0
46,Hiver,46.05306229972185,307.3202217308631,Faible,0.6086436107899076,1,0.6670205694860475,0
47,Automne,18.461177821387277,688.0303034311552,Rare,11.431516762391954,1,0.8456193612936774,0
48,Printemps,102.0611559634257,70.72901785003127,Moyenne,18.06486901210588,1,0.7074427798088245,1
49,Printemps,5.451384648929518,159.3599928975004,Rare,14.047174738442491,2,2.2113374346328536,1
50,Automne,35.443871589591964,135.53342426680845,Moyenne,20.77273620106943,0,0.0,0
51,Printemps,67.66179734144589,959.8581133752529,Moyenne,0.05937334738554446,0,0.0,0
52,Automne,67.0540380977355,1846.1819586023141,Rare,0.326275925478662,1,0.5694501165274868,0
53,Printemps,5.142429832295979,1.3550000486308098,Moyenne,6.951768833086583,3,3.6438825102743904,1
54,Automne,7.189051998503642,86.20021551614295,Rare,2.0895818238058164,1,0.9080785548069383,0
55,Hiver,83.31767344831803,336.9791370688281,Faible,9.376887593764604,0,0.0,0
56,Hiver,101.5567048982083,465.27124395670364,Dense,27.872791811523424,0,0.0,0
